Question,Sub Question,Compliance Item
,Was the owner-occupant borrower 90 or more days delinquent on their FHA-insured Mortgage as of the date of the review for Streamlined Pre-Foreclosure Sale requirements?,"The Mortgagee must ensure that Owner-Occupant Borrowers meet the following requirements:
􀁸 Borrower(s) are 90 Days or more Delinquent on their FHA-insured
Mortgage as of the date of the Mortgagee’s review;"
,Did each owner-occupant borrower have the credit score of 620 or below to qualify for Streamlined PFS standards?,"The Mortgagee must ensure that Owner-Occupant Borrowers meet the following requirements:
􀁸each Borrower has a credit score of 620 or below;"
,Was the Owner-occupant borrower reviewed for Loss Mitigation Home Retention Option?,"The Mortgagee must ensure that Owner-Occupant Borrowers meet the following requirements:
􀁸 Borrowers must have been reviewed for Loss Mitigation Home

Retention Options as follows:

o the Borrower has failed a TPP within the last six months;

o the Borrower has failed on an FHA-HAMP Option or Loan

Modification within the last two years;

o the Borrower has been deemed ineligible for a Loss Mitigation

Home Retention Option;

o the Borrower received an SFB - Unemployment but did not

otherwise qualify for a permanent Loss Mitigation Home

Retention Option by the end of the Special Forbearance period;

or

o the Borrower has been deemed eligible for and offered a Loss

Mitigation Home Retention Option. However, each Borrower

with a credit score below 580 must provide written

documentation that they choose not to accept the Loss

Mitigation Home Retention Option offered by the Mortgagee."
"Provided all borrowers met all the program requirements, was the Streamlined Pre-Foreclosure Sale offered to all the Properties securing FHA-insured Mortgages?  ",,"The Mortgagee may offer the Streamlined PFS process for all Properties securing FHA-insured Mortgages, provided that all Borrowers meet all program requirements. Such Properties may be vacant but cannot be condemned."
Did Service Members with PCS Orders meet all the requirements for a Streamlined Pre-foreclosure Sale?,,"The Mortgagee must ensure that servicemembers meet the following requirements for a Streamlined PFS for Servicemembers with PCS Orders:
􀁸 The servicemember has PCS Orders to relocate to a duty station at least 50 miles away from their existing residence and provides the Mortgagee with a copy of such orders.
􀁸 The servicemember submits an affidavit certifying that:
o the Property securing the FHA-insured Mortgage is or was their Principal Residence when the PCS orders were issued; and
o new permanent housing has been or will be obtained as a result of the orders."
,"Did the Service member have PCS orders to relocate to a duty station at least 50 miles away from their residence?

","The Mortgagee must ensure that servicemembers meet the following
requirements for a Streamlined PFS for Servicemembers with PCS Orders:
􀁸 The servicemember has PCS Orders to relocate to a duty station at
least 50 miles away from their existing residence and provides the
Mortgagee with a copy of such orders."
,Did the Service Member submit an affidavit certifying that the Property securing the FHA-insured mortgage is or was their Principal Residence when the PCS orders were issued?,"􀁸 The servicemember submits an affidavit certifying that:

o the Property securing the FHA-insured Mortgage is or was

their Principal Residence when the PCS orders were issued;

and

o new permanent housing has been or will be obtained as a result

of the orders."
Provided all borrower met program requirements such properties may be vacant but cannot be condemned; in this case was the Streamlined PFS process offered for all Properties securing FHA-insured mortgages?,,"The Mortgagee may offer the Streamlined PFS process for all Properties securing FHA-insured Mortgages, provided that all Borrowers meet all program requirements. Such Properties may be vacant, but cannot be condemned."
"Prior to reviewing the Borrower for a Standard PFS, was the borrower assessed for meeting the requirements of a Streamlined PFS Option?",,"The Mortgagee must first assess whether the Borrower meets the requirements of a Streamlined PFS Option, prior to reviewing the Borrower for a Standard PFS."
"Provided all borrowers met program requirements, was the Standard Pre-Foreclosure Sale process offered to all owner-occupied Properties securing FHA-Insured Mortgages?",,"The Mortgagee may offer the Standard PFS process for all owner-occupied Properties securing FHA-insured Mortgages, provided that all Borrowers meet all program requirements."
"Were borrower(s), in Default or Imminent Default with a proper hardship reason, considered for Standard PFS options?",,"The Mortgagee may consider for Standard PFS transactions those Borrowers in Default or in Imminent Default due to one or more of the following hardships:
􀁸 a loss of or reduction in income that was supporting the Mortgage;
􀁸 a change in household financial circumstances;
􀁸 death of a co-Borrower;
􀁸 long-term/permanent illness or disability of a Borrower or dependent Family Member;
􀁸 divorce or legal separation of a Borrower; or
􀁸 distant employment transfer or relocation greater than 50 miles one-way from the Borrower’s current Principal Residence to be closer to employment."
"Was Evidence of the borrower’s Imminent Default hardship reason, and DIT results in a negative value, included in the Claim Review File?",,"When approving a Borrower for a Standard PFS based on the Borrower’s Imminent Default for one of the reasons listed in the Eligible Borrowers section above, the Mortgagee’s Claim Review File must include the
following:
􀁸 evidence of the Borrower’s Imminent Default hardship(s); and
􀁸 evidence that the DIT results in a negative value."
"Prior to approving a Standard Pre-Foreclosure Sale, were all the required Financial Documents obtained from Borrower?",,"Prior to approving a Borrower for a Standard PFS, the Mortgagee must obtain the following documentation of the Borrower’s finances:
􀁸 for DIT, at least one of the following:
o at least two of the Borrower’s most recent pay stubs or, if self-employed, the most recent quarterly or year-to-date profit and loss statement, compiled by a Certified Public Accountant (CPA);
o the Borrower’s Social Security Income (SSI) statements and/or disability payment statements, if applicable; or
o the Borrower’s most recent Form W-2, Form 1099, or federal tax return; and
􀁸 for Cash Reserve contribution calculations, all of the following:
o the three most recent monthly bank statement(s);
o the three most recent months of brokerage statement(s); and
o the most recent federal tax return at the time the Borrower requests an approval for a Standard PFS."
,Were the most recent two months’ pay stubs or most recent quarterly or year-to-date profit and loss statements (if self-employed) complied by a Certified Public Accountant obtained prior to approving a Borrower for a Standard PFS?,"Prior to approving a Borrower for a Standard PFS, the Mortgagee must
obtain the following documentation of the Borrower’s finances:
􀁸 for DIT, at least one of the following:
o at least two of the Borrower’s most recent pay stubs or, if self-employed, the most recent quarterly or year-to-date profit and
loss statement, compiled by a Certified Public Accountant (CPA);"
,"Was the Borrower's Social Security Income statement or disability statement, if applicable, obtained prior to approving a Standard PFS?","Prior to approving a Borrower for a Standard PFS, the Mortgagee must
obtain the following documentation of the Borrower’s finances:
􀁸 for DIT, at least one of the following:
o the Borrower’s Social Security Income (SSI) statements and/or

disability payment statements, if applicable;"
,"Was the borrower's most recent Form W-2, Form 1099 or federal tax returns obtained prior to approving a Standard PFS?","Prior to approving a Borrower for a Standard PFS, the Mortgagee must
obtain the following documentation of the Borrower’s finances:
􀁸 for DIT, at least one of the following:
o the Borrower’s most recent Form W-2, Form 1099, or federal

tax return;"
,"For Cash Reserve contribution calculations, were the most recent three-months bank statements, three-months brokerage statements, and most recent federal tax return, and cash contribution calculations obtained prior to approving a Standard PFS?","Prior to approving a Borrower for a Standard PFS, the Mortgagee must
obtain the following documentation of the Borrower’s finances:
􀁸 for Cash Reserve contribution calculations, all of the following:

o the three most recent monthly bank statement(s);

o the three most recent months of brokerage statement(s); and

o the most recent federal tax return at the time the Borrower

requests an approval for a Standard PFS."
Was the Borrower’s Deficit Income Test (DIT) performed for Standard Pre-Foreclosure Sale as per procedures?,,"For Standard PFS transactions, to determine a Borrower’s income and expenses for the DIT, the Mortgagee must:
􀁸 verify the Borrower’s monthly net income by obtaining one of the following:
o at least two of the Borrower’s most recent pay stubs or, if self-employed, the most recent quarterly or year-to-date profit and loss statement, compiled by a CPA;
o the Borrower’s SSI statements and/or disability payment
statements, if applicable; or
o the Borrower’s most recent Form W-2, Form 1099, or federal tax return; and
􀁸 verify the Borrower’s monthly expenses by ensuring that all expenses on the Borrower’s credit report are factored into the DIT along with any other expenses that are supported by bills, payment receipts, and/or the standard payment amounts under an IRS Index (such as the IRS Collection Financial Standards). For large past due
balances or for accounts included in bankruptcy proceedings, the Mortgagee should refer to the minimum monthly payment required prior to the delinquency when using the DIT."
,Was the Borrower's monthly net income verified to determine borrower’s income and expenses for DIT?,"For Standard PFS transactions, to determine a Borrower’s income and
expenses for the DIT, the Mortgagee must:
􀁸 verify the Borrower’s monthly net income by obtaining one of the
following:
o at least two of the Borrower’s most recent pay stubs or, if self-employed, the most recent quarterly or year-to-date profit and
loss statement, compiled by a CPA;
o the Borrower’s SSI statements and/or disability payment
statements, if applicable; or
o the Borrower’s most recent Form W-2, Form 1099, or federal
tax return;"
,"Were the Borrower’s monthly expenses verified by confirming all expenses on the credit report that were factored into the DIT, along with other expenses supported by bills, payment receipts and/or standard payment amounts under an IRS Index for past due balances or for accounts included in Bankruptcy proceedings?","􀁸 verify the Borrower’s monthly expenses by ensuring that all expenses on the Borrower’s credit report are factored into the DIT 
along with any other expenses that are supported by bills, payment  receipts, and/or the standard payment amounts under an IRS Index (such as the IRS Collection Financial Standards). For large past due  balances or for accounts included in bankruptcy proceedings, the Mortgagee should refer to the minimum monthly payment required prior to the delinquency when using the DIT."
"When performing DIT calculations, were the Borrower’s total monthly expenses subtracted from the borrower’s total monthly net income? ",,"In performing the DIT, the Mortgagee subtracts the Borrower’s total monthly expenses from the total monthly net income."
Was the Pre-foreclosure Sale an appropriate Loss Mitigation Option for the borrower whose DIT yielded a negative amount?,,A DIT yielding a negative amount indicates that the Borrower’s expenses exceed their income each month and thus a PFS may be an appropriate Loss Mitigation Option for the Borrower.
"Was the borrower with a positive DIT amount reviewed for Loss Mitigation Home Retention Options, unless previously denied those options, or previously qualifying for a Streamlined Option?  ",,"The Mortgagee must review a Borrower with a positive DIT amount for Loss Mitigation Home Retention Options, unless that Borrower was previously denied for those options or if that Borrower qualifies for a Streamlined Option."
Were any exceptions granted to Non-Occupant Borrowers in Standard Pre-Foreclosure Sale transactions?,,"HUD authorizes Mortgagees to grant exceptions to Non-Occupant Borrowers when the following can be demonstrated:
􀁸 need to vacate: the non-occupancy was related to the cause of Default; and
􀁸 not purchased/used as rental: the subject Property was not purchased as a rental or used as a rental for more than 18 months prior to the Borrower’s acceptance into the PFS Program."
"Was all criteria met, when the exceptions were granted to Non-Occupant Borrowers in Standard Pre-Foreclosure Sale Transactions?",,"HUD authorizes Mortgagees to grant exceptions to Non-Occupant Borrowers when the following can be demonstrated:
􀁸 need to vacate: the non-occupancy was related to the cause of Default; and
􀁸 not purchased/used as rental: the subject Property was not purchased as a rental or used as a rental for more than 18 months prior to the Borrower’s acceptance into the PFS Program."
Was a variance request submitted to NSC via EVARS to use the PFS Options when the property was owned by a corporation or partnership?,,The Mortgagee must submit a variance request to use the PFS Option to the NSC via EVARS when the Property is owned by a corporation or partnership
Was the NSC approval requested via EVARS before approving the use of the PES Option for a Property with Surcharge able Damage?,,The Mortgagee must request NSC approval via EVARS before approving the use of the PFS Option for a Property with Surcharge able Damage
"When requesting NSC approval via EVARS, were all the steps followed while approving PES options for a property with Surcharge able Damage?",,"The Mortgagee must request NSC approval via EVARS before approving the use of the PFS Option for a Property with Surcharge able Damage as follows:
􀁸 The Mortgagee must first obtain the Government’s Estimate of the Cost to Repair the Surcharge able Damage by contacting HUD’s Mortgagee Compliance Manager (MCM).
􀁸 Upon receipt of the Government’s Estimate of the Cost to Repair, the Mortgagee must submit form HUD-90041, Request for Variance: Pre-foreclosure Sale Procedure, via EVARS to obtain NSC approval prior to entering into a PFS Agreement with the Borrower. The Mortgagee must note on the variance request the specific reason for the request and attach any supporting documents needed for the NSC’s review."
,Was the Government’s Estimate of the Cost to Repair the Surcharge able Damage obtained by contacting HUD’s Mortgagee Compliance Manager?,􀁸 The Mortgagee must first obtain the Government’s Estimate of the Cost to Repair the Surcharge able Damage by contacting HUD’s Mortgagee Compliance Manager (MCM).
,"Was the Form HUD-90041 submitted requesting for Variance: Pre-foreclosure Sale Procedure, via EVARS to obtain

NSC approval prior to entering into a PFS Agreement with the Borrower?

","􀁸 Upon receipt of the Government’s Estimate of the Cost to Repair, the Mortgagee must submit form HUD-90041, Request for
Variance: Pre-foreclosure Sale Procedure, via EVARS to obtain
NSC approval prior to entering into a PFS Agreement with the
Borrower."
,"Was the variance request noted with a specific reason for the request, and required supporting documents attached for NSC’s review?","􀁸 Upon receipt of the Government’s Estimate of the Cost to Repair, the Mortgagee must submit form HUD-90041, Request for
Variance: Pre-foreclosure Sale Procedure, via EVARS to obtain
NSC approval prior to entering into a PFS Agreement with the
Borrower. The Mortgagee must note on the variance request the
specific reason for the request and attach any supporting
documents needed for the NSC’s review."
"If the Property was being sold “As Is” subject to the Surcharge able Damage, was the Government's Repaid Cost Estimate of damage deducted from its PFS Claim?",,"If the Property is being sold “As Is” subject to the Surcharge able Damage, the Mortgagee must deduct the Government’s Repair Cost Estimate of the damage from its PFS Claim."
"If the Property is being sold “As Repaired,” and funds for Surcharge able repairs will be escrowed or provided as a credit to the Borrower at closing, was the amount of the repair escrow or repair credit included in the Net Sale Proceeds calculations?",,"If the Property is being sold “As Repaired” and funds for surcharge able repairs will be escrowed or provided as a credit to the Borrower at closing, the Mortgagee must not include in its Net Sale Proceeds calculation the amount of the repair escrow or repair credit."
"
If the damage was not considered Surcharge able Damage, was NSC approval required prior to approving the PFS Agreement? ",,"If the damage is not considered Surcharge able Damage, the Mortgagee is not required to obtain NSC approval prior to approving the PFS Agreement."
"If a Hazard Insurance Claim was filed with the borrower, were the proceeds used to repair the Property or adjust the PFS Claim by the amount of the insurance settlement (Non- Surcharge able Damage) or the Government’s Repair Cost Estimate?",,"Where applicable, the Mortgagee must work with the Borrower to file a hazard insurance claim and either:
􀁸 use the proceeds to repair the Property; or
􀁸 adjust the PFS Claim by the amount of the insurance settlement (Non-Surcharge able Damage) or the Government’s Repair Cost Estimate."
"If the extent of the damage changes the Property’s Fair Market Value in the event the Mortgagee becomes aware that Property has sustained significant damage after a Borrower has received the Approval to participate in the PFS Program, was the Property re-evaluated to determine it continues to quality for the PFS Program or terminate participation?",,"In the event the Mortgagee becomes aware that the Property has sustained significant damage after a Borrower has received the Approval to Participate in the PFS Program, the Mortgagee must re-evaluate the Property to determine if it continues to qualify for the PFS Program or terminate participation if the extent of the damage changes the Property’s Fair Market Value (FMV)."
"Was it confirmed that the FHA-insured mortgaged property, sold under the Pre-Foreclosure sale program, had a marketable title?",,The Mortgagee must ensure that all FHA-insured mortgaged Properties sold under the PFS Program have marketable title.
Was the Title search or preliminary report obtained verifying that the title was not impaired by unresolvable title problems or junior liens that could not be discharged as permitted by HUD of PACE obligation? ,,"Before approving a Borrower for participation in the PFS program, the Mortgagee must obtain a title search or preliminary report verifying that the title is not impaired by:
􀁸 unresolvable title problems; or
􀁸 junior liens that cannot be discharged as permitted by HUD.             
􀁸 PACE obligation"
"If the Borrower expressed an interest in participating in the PFS program or borrower had been identified as a qualified candidate for the PFS program, was the HUD-90035 form mailed with all the required information on it? ",,"When a Borrower has expressed an interest in participating in the PFS program or has been identified by the Mortgagee as a qualified candidate for the PFS Program, the Mortgagee must mail form HUD-90035, Information Sheet: Preforeclosure Sale Procedure, adding its toll-free or collect telephone number to the form."
Was the Borrower notified about the Disclosure Requirements before approving the PFS options?,,"Before approving the Borrower for the PFS Option, the Mortgagee must notify the Borrower in writing of the following:
􀁸 The Mortgage must be in Default on the date the PFS transaction closes, pursuant to section 204(a)(1)(D) of the National Housing Act, 12 U.S.C. 1710.
􀁸 PFS transactions are reported to consumer reporting agencies and will likely affect the Borrower’s ability to obtain another Mortgage and other types of credit.
􀁸 If the Borrower is a servicemember, it is recommended that the Borrower obtain guidance from their employer regarding the PFS’s impact on their security clearance and employment."
,"Was the Mortgage in Default on the date the PFS transaction Closed, pursuant to section 204(a)(1)(D) of the National Housing Act, 12 U.S.C. 1710.","Before approving the Borrower for the PFS Option, the Mortgagee must notify the Borrower in writing of the following:
􀁸 The Mortgage must be in Default on the date the PFS transaction closes, pursuant to section 204(a)(1)(D) of the National Housing Act, 12 U.S.C. 1710."
,"Before approving the borrower for the PFS Option, was the Borrower notified in writing that the PFS transactions were reported to consumer reporting agencies and would likely affect the Borrower’s ability to obtain another Mortgage and other types of credit?","Before approving the Borrower for the PFS Option, the Mortgagee must notify the Borrower in writing of the following:
􀁸 PFS transactions are reported to consumer reporting agencies and will likely affect the Borrower’s ability to obtain another Mortgage and other types of credit."
,"If the Borrower was a servicemember, was the Borrower notified and recommended that they should obtain guidance from their employer regarding the PFS’s impact on their security clearance and employment?","􀁸 If the Borrower is a servicemember, it is recommended that the Borrower obtain guidance from their employer regarding the PFS’s impact on their security clearance and employment."
"Was a compensation of $3000 offered by HUD to Owner-Occupant Borrowers, who acted in good faith, and sold their Properties using the PFS options?",,"HUD offers Owner-Occupant Borrowers who act in good faith and successfully sell their Properties using the PFS Option a compensation of up to $3,000"
"Did the Owner-Occupant borrower apply the entire amount of $3,000 compensation, or the portion of it, to resolve junior liens?",,"The Owner-Occupant Borrower may:
􀁸 apply the entire amount of the $3,000 compensation or a portion of it to resolve junior liens; and/or
􀁸 offset the sales transaction costs not paid by HUD (including a home warranty plan fee, costs of optional repairs, and the buyer’s closing expenses)."
Did the Owner-Occupant Borrower offset the sales transaction costs not paid by HUD?,,"The Owner-Occupant Borrower may:
􀁸 apply the entire amount of the $3,000 compensation or a portion of it to resolve junior liens; and/or
􀁸 offset the sales transaction costs not paid by HUD (including a home warranty plan fee, costs of optional repairs, and the buyer’s closing expenses)."
Was the Closing Agent instructed to pay the HUD relocation or transition assistance from Net Sale Proceeds?,,"The Mortgagee must instruct the Closing Agent to:
􀁸 pay the HUD relocation or transition assistance from Net Sale Proceeds; and"
Was the Closing Agent instructed to itemize on the Closing Disclosure or similar legal document any relocation or transition assistance received by HUD or from other entities?,,"The Mortgagee must instruct the Closing Agent to:
􀁸 itemize on the Closing Disclosure or similar legal document any relocation or transition assistance received by HUD or from other entities."
Was the use of the Borrower compensation amount reflected accurately in the Closing disclosure or similar legal documents?,,The Mortgagee must ensure that the Closing Disclosure or similar legal document accurately reflects the use of any Borrower compensation amount.
Were the Total Cash Reserves calculated using the highest ending balance of each cash Reserve asset and disclosed to the borrower the amount of the borrower’s Cash Reserve contribution to be applied towards the Standard PFS transaction before approving PFS transaction?,,"Before approving a Borrower to participate in a Standard PFS transaction, the Mortgagee must:
calculate the total Cash Reserves using the highest ending balance of each Cash Reserve asset; and
􀁸 disclose to the Borrower the amount of the Borrower’s Cash Reserve contribution to be applied towards the Standard PFS transaction."
Did HUD require Cash Reserve contributions for Streamlined PFS transactions?,,HUD does not require Cash Reserve contributions for Streamlined PFS transactions.
"Was the Cash Reserve Contribution Threshold less than $5,000",,"The Cash Reserve contribution threshold is $5,000."
Did the mortgagee require the borrower with cash reserves greater than the contribution threshold to contribute 20 percent of the total amount exceeding the contribution threshold towards the mortgage debt?,,The Mortgagee must require the Borrower with Cash Reserves greater than the contribution threshold to contribute 20 percent of the total amount exceeding the contribution threshold towards the mortgage debt.
Did the mortgagee require the borrower to contribute more than the difference between the unpaid principal balance and the appraised value of the Property?,,The Mortgagee must not require the Borrower to contribute more than the difference between the unpaid principal balance and the appraised value of the Property.
"If the Cash Reserve calculation returned an amount at or below the contribution threshold amount, or a negative amount, was a contribution obtained from the Borrower in connection with PFS transactions? ",,"If the Cash Reserve calculation returns an amount at or below the contribution threshold amount, or a negative amount, the Mortgagee is not required to obtain a
contribution from the Borrower in connection with the PFS transaction."
"Was the borrower notified of an Approval to Participate in the PFS Program (form HUD-90045), including the date by which the Borrower’s Sales Contract must be executed under Pre-Foreclosure Sales marketing Period guidance?",,"After determining that a Borrower and Property meet the PFS eligibility requirements, the Mortgagee must notify the Borrower by sending:
􀁸 an Approval to Participate in the PFS Program (form HUD-90045, Approval to Participate), including the date by which the Borrower’s Sales Contract must be executed under Pre-Foreclosure Sale Marketing Period guidance"
Was a Pre-Foreclosure Sale Addendum sent to borrower notifying that the borrower and property meet the PFS eligibility requirements?,,"After determining that a Borrower and Property meet the PFS eligibility requirements, the Mortgagee must notify the Borrower by sending:
a Pre-Foreclosure Sale Addendum."
Was the borrower notified of an Approval to Participate in the PFS Program by providing a confirmation or a timestamp of delivery?,,The Mortgagee must send these documents to the Borrower via methods providing confirmation or a timestamp of delivery.
Was the signed Approval to Participate in PFS received by the Mortgagee within 10 Days of the date of the Approval to Participate?,,The Mortgagee must receive the signed Approval to Participate within 10 Days of the date on the Approval to Participate.
Did the Borrower retain the  services of a real estate broker/agent within seven days of the date of the Approval to participate in the PFS Program?,,The Borrower is responsible for retaining the services of a real estate broker/agent within seven Days of the date of the Approval to Participate.
Did the established Listing Agreement between the seller and agent/Broker include the cancellation clause?,,"The Mortgagee must ensure that the established Listing Agreement between the seller and the agent/broker includes the following cancellation clause: “Seller may cancel this Agreement prior to the ending date of the listing period without advance notice to the Broker, and without payment of a commission or any other consideration if the Property is conveyed to the mortgage insurer or the mortgage holder. The sale completion is subject to approval by the mortgagee.”"
Did the real estate broker or agent market the Property within the pre-established timeframe stated in the Approval to Participate and list the Property in accordance with the Property Valuation requirements?,,The real estate broker/agent must market the Property within the preestablished timeframe stated in the Approval to Participate and list the Property in accordance with the property valuation requirements.
"Did the real estate broker/agent selected have a conflict of interest with the Borrower, Mortgagee, Appraiser or the buyer associated with PFS transaction?",,"The real estate broker/agent selected must have no conflict of interest with the Borrower, the Mortgagee, the Appraiser or the buyer associated with the PFS transaction. The broker/agent must not claim a sales commission on a PFS of a broker’s/agent’s own Property or that of a spouse, sibling, parent, or child."
Were all Arms-length requirements applied to all parties involved in the Pre-Foreclosure Sale transactions?,,"The Mortgagee must ensure that the following arms-length requirements apply to parties involved in PFS transactions:
􀁸 Any PFS proposed by the Borrower or their agent and approved by the Mortgagee must be an Arm’s Length Transaction between the Borrower and prospective buyer, subject to the exceptions in the Permitted Non-Arms-Length Transaction section.
􀁸 Except for real estate agents and brokers representing a party to the PFS, no party that is a signatory on the sales contract, including addenda, can serve in more than one capacity.
􀁸 The broker hired to sell the Property must not share a business interest with the Mortgagee. If the Mortgagee knows that a shared interest exists between Appraiser and sales agent, the Mortgagee must note this in the Claim Review File.
􀁸 All doubts will be resolved in a manner to avoid a conflict of interest, the appearance of conflict, or self-dealing by any of the parties."
"Did  HUD permit, non-AMR’s Length PFS Transactions, necessary to the extent to comply with state law, where state law prohibited placement of an ARM's Length Transaction requirement on property sales?",,"HUD permits non-Arm’s Length PFS Transactions, to the extent necessary to comply with state law, where state law prohibits placement of an Arm’s Length Transaction requirement on property sales."
"In a Pre-Foreclosure Sale, was there a Relocation Service affiliated with the Borrower’s employer to contribute a fixed sum towards the proceeds of the PFS transaction without altering the arm's-length nature of the sale, so long as the result was an outright sale of the Property and cancellation of the FHA insurance?",,"The Mortgagee may permit a Relocation Service affiliated with the Borrower’s employer to contribute a fixed sum towards the proceeds of the PFS transaction without altering the arms-length nature of the sale, so long as the result is an outright sale of the Property and cancellation of the FHA mortgage insurance."
Was the borrower in compliance with the terms in the Approval to Participate and with all PFS Program requirements?,,The Mortgagee must monitor the PFS transaction in its entirety to ensure the Borrower’s compliance with the terms in the Approval to Participate and with all PFS Program requirements.
Was the Borrower’s participation terminated in the PFS Program in the event of noncompliance?,,The Mortgagee must terminate a Borrower’s participation in the PFS Program in the event of noncompliance.
"If the property was vacant, was the property inspected during the Pre-Foreclosure Sale period?",,"The Mortgagee must inspect Properties during the PFS period if:
􀁸 the Property is vacant;
􀁸 the Mortgagee has reason to suspect that the Property has become vacant; or
􀁸 the Borrower or Authorized Third Party has not maintained contact with the Mortgagee."
"During the property inspection for a Foreclosure Sale, was there a reason to suspect that the Property had become vacant or borrower or authorized third party had not maintained contact with the servicer?",,"The Mortgagee must inspect Properties during the PFS period if:
􀁸 the Property is vacant;
􀁸 the Mortgagee has reason to suspect that the Property has become vacant; or
􀁸 the Borrower or Authorized Third Party has not maintained contact with the Mortgagee."
Did the Borrower list the Property for sale at no less than the “As Is” value as determined by an appraisal completed in accordance with the requirements in the Appraiser and Property Requirements for Title II Forward and Reverse Mortgages section of this SF HANDBOOK?,,The Mortgagee must ensure that the Borrower lists the Property for sale at no less than the “As Is” value as determined by an appraisal completed in accordance with the requirements in the Appraiser and Property Requirements for Title II Forward and Reverse Mortgages section of this SF Handbook.
Was a standard electronically-formatted appraisal obtained that was performed by an FHA Roster Appraiser?,,The Mortgagee must obtain a standard electronically-formatted appraisal performed by an FHA Roster Appraiser
Did the standard electronically-formatted appraisal obtained contain an “As-Is” Fair Market Appraisal for the subject Property?,,"The Mortgagee must obtain a standard electronically-formatted appraisal performed by an FHA Roster Appraiser pursuant to the following requirements:
􀁸 The appraisal must contain an “As-Is” FMV for the subject Property."
"Was a copy of the Appraisal provided to the homeowner, sales agent or HUD upon request?",,"The Mortgagee must obtain a standard electronically-formatted appraisal performed by an FHA Roster Appraiser pursuant to the following requirements:
􀁸 A copy of the appraisal must be provided to the homeowner, sales agent, or HUD, upon request.."
Was the as-is appraisal used for a PFS transaction valid for 120 days?,,"The as-is appraisal used for a PFS transaction is valid for 120 Days. If a Mortgagee determines that a subsequent as-is appraisal is required, the Mortgagee may obtain a new as-is appraisal, even if the Property was appraised by an FHA Roster Appraiser within the preceding 120 Days."
Was a new as-is appraisal obtained even if the Property was appraised by an FHA Roster Appraiser within the preceding 120 Days?,,"The as-is appraisal used for a PFS transaction is valid for 120 Days. If a Mortgagee determines that a subsequent as-is appraisal is required, the Mortgagee may obtain a new as-is appraisal, even if the Property was appraised by an FHA Roster Appraiser within the preceding 120 Days."
"Was a variance requested through EVARS to approve a PFS transaction if the current appraised value of the Property was less than the unpaid principal balance by an amount of $75,000 or greater?",,"A Mortgagee must submit a request for a variance through EVARS to approve a PFS transaction if one of the following conditions exists:
􀁸 the current appraised value of the Property is less than the unpaid principal balance by an amount of $75,000 or greater."
Was a variance requested through EVARS to approve a PFS transaction if the appraised value was less than 50 percent of the unpaid principal balance?,,"A Mortgagee must submit a request for a variance through EVARS to approve a PFS transaction if one of the following conditions exists:
􀁸 the appraised value is less than 50 percent of the unpaid principal
balance;"
Was a variance requested through EVARS to approve a PFS transaction if the appraisal was deemed unacceptable because the as-is value could not be affirmed using a Broker’s Price Opinion (BPO) or Automated Valuation Model (AVM) within 10 percent of the value?,,"A Mortgagee must submit a request for a variance through EVARS to approve a PFS transaction if one of the following conditions exists:
􀁸 the appraisal is deemed unacceptable because the as-is value cannot be affirmed using a Broker’s Price Opinion (BPO) or Automated Valuation Model (AVM) within 10 percent of the value."
Was the variance request noted with the specific reason for the request and was there an attachment of the supporting documents needed for HUD review?,,The Mortgagee must note on the variance request the specific reason for the request and attach any supporting documents needed for HUD review. The Mortgagee must obtain approval before authorizing the marketing of the Property.
"In a Pre-foreclosure Sale, was an approval obtained before authorizing the marketing of the Property.",,The Mortgagee must obtain approval before authorizing the marketing of the Property.
"If the appraisal was deemed unacceptable, was a BPO or AVM obtained within 10 percent of the value of the Property as determined by the as-is appraisal performed by an FHA Roster Appraiser?",,"When the appraisal has been deemed unacceptable, the Mortgagee must obtain a BPO or AVM that is within 10 percent of the value of the Property as determined by the as-is appraisal performed by an FHA Roster Appraiser. An acceptable BPO or AVM is one that is utilized by the Mortgagee in its existing standard business processes."
Was a copy of the BPO or AVM supporting the Property Value retained in the Claim Review File?,,The Mortgagee must retain in the Claim Review File a copy of the BPO or AVM supporting the Property Value.
"In a Pre-foreclosure Sale, Was the contract of Sale established within 4 months from the date of the Borrower’s Approval to Participate?",,The Borrower has four months from the date of the Borrower’s Approval to Participate to acquire a Contract of Sale.
Were the PFS Properties listed in the Multiple Listing Service for a minimum of 15 Days before offers were evaluated?,,"The Mortgagee must ensure that PFS Properties are listed in the Multiple Listing Service for a minimum of 15 Days before offers are evaluated. After this initial listing period, the broker/agent may evaluate offers as they are received."
"In a Pre-Foreclosure Sale, was an automatic two-month extension provided by HUD when the mortgagee had an ""A"" TRS II/Tier 1 score under HUD's TRS II or when there was a signed Contract of Sale  where settlement had not occurred by the end of the fourth month following the date of the Borrower’s Approval to Participate in the PFS Program?",,"HUD provides an automatic two-month extension to the deadline to initiate foreclosure for completion of a PFS transaction under the following conditions:
􀁸 the Mortgagee has an “A” TRS II/Tier 1 score under HUD’s TRS II; or
􀁸 there is a signed Contract of Sale, but settlement has not occurred by the end of the fourth month following the date of the Borrower’s Approval to Participate in the PFS Program."
Was the Property’s marketing status reviewed on a monthly basis with the Borrower and/or real estate broker/agent?,,"On a monthly basis, Mortgagees must review the Property’s marketing status with the Borrower and/or real estate broker/agent."
